author	authorLabel
http://www.wikidata.org/entity/Q1524158	Gilbert Crispin
http://www.wikidata.org/entity/Q583119	Gilbert de La Porrée
http://www.wikidata.org/entity/Q17485967	Gilbert de Tournai
http://www.wikidata.org/entity/Q5561313	Gilbert of Hoyland
http://www.wikidata.org/entity/Q352995	Gildas
http://www.wikidata.org/entity/Q3105983	Gilduin of Saint-Victor
http://www.wikidata.org/entity/Q380647	Giles of Rome
http://www.wikidata.org/entity/Q5355	Gilles de Paris
http://www.wikidata.org/entity/Q2360461	Gilles de Paris
http://www.wikidata.org/entity/Q1401220	Giorgio Sisgoreo
http://www.wikidata.org/entity/Q3766372	Giovanni Alfredo Cesareo
http://www.wikidata.org/entity/Q17284944	Giovanni Antonio Flaminio
http://www.wikidata.org/entity/Q3767984	Giovanni Arca
http://www.wikidata.org/entity/Q542039	Giovanni Battista Guarini
http://www.wikidata.org/entity/Q1402	Giovanni Boccaccio
http://www.wikidata.org/entity/Q98768334	Giovanni De Bonis
http://www.wikidata.org/entity/Q3107187	Giovanni Francesco Conti
http://www.wikidata.org/entity/Q55874272	Giovanni Giacomo Coleti
http://www.wikidata.org/entity/Q106611850	Giovanni Maria Bertini
http://www.wikidata.org/entity/Q850346	Giovanni Michele Bruto
http://www.wikidata.org/entity/Q375998	Giovanni Pascoli
http://www.wikidata.org/entity/Q182128	Giovanni Pico della Mirandola
http://www.wikidata.org/entity/Q315149	Giovanni da Pian del Carpine
http://www.wikidata.org/entity/Q55227549	Girolamo Ferri
http://www.wikidata.org/entity/Q164823	Girolamo Savonarola
http://www.wikidata.org/entity/Q1527067	Girolamo Tartarotti
http://www.wikidata.org/entity/Q6313098	Giunio Resti
http://www.wikidata.org/entity/Q344278	Gnaeus Arulenus Caelius Sabinus
http://www.wikidata.org/entity/Q212667	Gnaeus Naevius
http://www.wikidata.org/entity/Q316119	Gnaeus Pompeius Trogus
http://www.wikidata.org/entity/Q3109731	Godfrey of St Victor
http://www.wikidata.org/entity/Q614256	Godfrey of Viterbo
http://www.wikidata.org/entity/Q3772813	Goffredo da Bussero
